BV_NUM,STATE,ZIP,OBAL,ORATE,PBAL,RATE,P_I,ACLAS,PURP,PROP_MM,,SECTION2,NOTE_DT,ODATE,FPDATE,MDATE,PDATE,NPDATE,ASOFDT,BV_NUM,OCCLAS,FICO,FICO_DT,OAPPR,OSLSPRI,OLTV,CLTV,BPOUSED,BPO,MONTHDEL,TDEL30,TDEL60,TDEL90,PAYHIST,LOAN_TY,MIFLAG,MI_PERCT,,,MIGROUP,PREPAY,BV_NUM,PAYFREQ,INTCOLCD,IO_FLAG,IO_TERM,REMAININGIO1,OTERM,OATERM,REMTERM1,AGE1,RETAINED,SVC_FEE,DOC_TYPE,ADJTYPE,INDEXGR,,BALLOON,RADJPER,PADJPER,,FRCDT,,FPCDT,BV_NUM,MTR_PMT1,LOCKOUT,PRODUCT,FPCAP,PCAP,MARGIN,MINRATE,MAXRATE,CONV,NEG_AM,NEGAMPCT,NEGAMPCTCUR,PAYMENTCAP,RECAST,GROUP,REPGR,Junior Lien Amount,SSECONDSP,Combined LTV
200016174,FL,33147,132000.00,11.625,113605.28,11.625,1552.52,F,P,Single Family,(OTHER),A/ALT A,6/25/2002,6/25/2002,8/1/2002,7/1/2017,11/1/2006,12/1/2006,11/7/2006,200016174,O,689,11/6/2006,265000.00,240000.00,55.000,47.340,0,265000.00,0,0,0,0,000000000000,UCONV,N,0.000,,,,Y,200016174,0,0,0,0,0,180,180,128,52,0.000,0.375,STA,FIXED,FIXED RATE,,FULLY AMORTIZING,0,0,0,,0,,200016174,0,0,0/0,0.000,0.000,0.000,0.000,0.000,0,N,0.000,0.000,0.000,0,1,1-STRUCTURE GROUP LAND FIXED WAM less than 180 WAC greater than 9.5,26000.0000,Y,65.83
200020002,FL,33411,184240.00,10.750,163529.09,10.750,2084.02,F,P,Single Family,(OTHER),A/ALT A,4/17/2003,4/18/2003,6/1/2003,5/1/2018,11/1/2006,12/1/2006,11/7/2006,200020002,I,776,10/31/2006,335000.00,335000.00,55.000,48.810,0,0.00,0,0,0,0,000000000000,UCONV,N,0.000,,,,Y,200020002,0,5,0,0,0,180,180,138,42,0.000,0.750,STA,FIXED,FIXED RATE,,FULLY AMORTIZING,0,0,0,,0,,200020002,0,0,0/0,0.000,0.000,0.000,0.000,0.000,0,N,0.000,0.000,0.000,0,1,1-STRUCTURE GROUP LAND FIXED WAM less than 180 WAC greater than 9.5,0.0000,N,55.00
326136,MA,01503,145000.00,9.990,145000.00,9.990,1207.13,A,E,Single Family,,SUBPRIME,6/19/2006,6/23/2006,8/1/2006,7/1/2036,9/1/2006,10/1/2006,11/7/2006,326136,O,611,11/8/2006,300000.00,0.00,48.330,48.330,0,290000.00,1,1,0,0,100000000000,UCONV,N,0.000,,,,Y,326136,0,0,1,60,56,360,300,356,4,0.000,0.500,LTD,ARM,6 MO LIBOR,,FULLY AMORTIZING,6,6,,7/1/2008,,8/1/2008,326136,21,24,24/6,2.000,2.000,5.000,5.000,15.990,0,N,0.000,0.000,0.000,0,2,2-STRUCTURE GROUP SUBPRIME 60-IO_MONTHS-ARM LIBOR LONG RESET,0.0000,N,48.33
333611,MD,21128,415000.00,5.250,404032.03,5.250,2291.65,A,R,Single Family,,A/ALT A,12/13/2004,12/13/2004,2/1/2005,1/1/2035,10/1/2006,11/1/2006,10/20/2006,333611,O,759,9/29/2006,530000.00,0.00,78.300,76.230,0,0.00,0,0,0,0,000000000000,UCONV,N,0.000,,,,N,333611,0,0,0,0,0,360,360,338,22,0.000,0.500,ALT,ARM,1 YR LIBOR,,FULLY AMORTIZING,12,12,,1/1/2012,,2/1/2012,333611,63,84,84/12,5.000,2.000,2.250,2.250,10.250,0,N,0.000,0.000,0.000,0,1,1-STRUCTURE GROUP A/ALT A ARM LIBOR LONG RESET LONG ARM,0.0000,N,78.30
334369,AZ,85040,56348.00,10.000,56062.14,10.000,494.49,F,P,Condo,,A/ALT A,11/16/2005,11/16/2005,1/1/2006,12/1/2035,10/1/2006,11/1/2006,10/26/2006,334369,I,709,11/7/2006,80000.00,75130.00,75.000,74.620,0,0.00,0,0,0,0,000000000000,UCONV,N,0.000,,,,Y,334369,0,0,0,0,0,360,360,349,11,0.000,0.500,STA,FIXED,FIXED RATE,,FULLY AMORTIZING,0,0,0,,0,,334369,0,0,0/0,0.000,0.000,0.000,0.000,0.000,0,N,0.000,0.000,0.000,0,1,1-STRUCTURE GROUP A/ALT A FIXED WAM greater than or equal to 324 WAC greater than 9.5,0.0000,N,75.00
327915,CA,95076,273000.00,8.990,233738.38,8.990,2194.66,F,P,Single Family,,SUBPRIME,4/1/1999,4/13/1999,6/1/1999,5/1/2029,10/1/2006,11/1/2006,11/7/2006,327915,O,558,11/8/2006,400000.00,0.00,68.250,58.430,0,0.00,0,0,0,0,000000000000,UCONV,N,0.000,,,,N,327915,0,0,0,0,0,360,360,270,90,0.000,0.500,FD,FIXED,FIXED RATE,,FULLY AMORTIZING,0,0,0,,0,,327915,0,0,0/0,0.000,0.000,0.000,0.000,0.000,0,N,0.000,0.000,0.000,0,1,1-STRUCTURE GROUP SUBPRIME FIXED WAM greater than or equal to 180 WAC less than or equal to 9.5,0.0000,N,68.25
327462,NC,28468,155000.00,11.990,154955.55,11.990,1593.16,F,E,Single Family,,SUBPRIME,8/28/2006,9/1/2006,11/1/2006,10/1/2036,10/1/2006,11/1/2006,11/7/2006,327462,O,584,10/12/2006,472000.00,0.00,32.840,32.830,0,430000.00,0,0,0,0,000000000000,UCONV,N,0.000,,,,N,327462,0,0,0,0,0,360,360,359,1,0.000,0.500,NIN,FIXED,FIXED RATE,,FULLY AMORTIZING,0,0,0,,0,,327462,0,0,0/0,0.000,0.000,0.000,0.000,0.000,0,N,0.000,0.000,0.000,0,1,1-STRUCTURE GROUP SUBPRIME FIXED WAM greater than or equal to 324 WAC greater than 9.5,0.0000,N,32.84
326239,MO,64804,121938.66,7.500,117355.84,9.500,1020.45,A,E,Single Family,,SUBPRIME,1/29/2002,1/29/2002,3/4/2002,2/4/2032,10/4/2006,11/4/2006,11/7/2006,326239,O,632,11/8/2006,175000.00,0.00,69.680,67.060,1,175000.00,0,7,0,0,011001011011,UCONV,N,0.000,,,,N,326239,0,4,0,0,0,360,360,303,57,0.000,0.500,LTD,ARM,PRIME,,FULLY AMORTIZING,12,12,,3/4/2003,,4/4/2003,326239,5,13,13/12,2.000,2.000,2.750,6.000,13.500,0,N,0.000,0.000,0.000,0,2,2-STRUCTURE GROUP SUBPRIME ARM PRIME,0.0000,N,69.68
330922,TX,76105,46000.00,11.000,45833.82,11.000,474.81,F,P,Single Family,,SUBPRIME,7/28/2006,7/28/2006,8/28/2006,7/28/2026,9/28/2006,10/28/2006,11/7/2006,330922,O,0,11/8/2006,0.00,50000.00,92.000,91.670,1,50000.00,0,1,0,0,010000000000,UCONV,N,0.000,,,,N,330922,0,4,0,0,0,240,240,236,4,0.000,0.500,STA,FIXED,FIXED RATE,,FULLY AMORTIZING,0,0,0,,0,,330922,0,0,0/0,0.000,0.000,0.000,0.000,0.000,0,N,0.000,0.000,0.000,0,1,1-STRUCTURE GROUP SUBPRIME FIXED WAM greater than or equal to 180 WAC greater than 9.5,0.0000,N,92.00
109930,TX,76240,36450.00,8.500,26580.44,8.500,280.27,F,P,Single Family,,A/ALT A,11/19/1991,11/21/1991,1/1/1992,12/1/2021,10/1/2006,11/1/2006,11/7/2006,109930,O,786,11/8/2006,36000.00,36000.00,101.250,73.830,0,0.00,0,2,0,0,010100000000,UCONV,N,0.000,,,,N,109930,0,0,0,0,0,360,360,181,179,0.000,0.500,LTD,FIXED,FIXED RATE,,FULLY AMORTIZING,0,0,0,,0,,109930,0,0,0/0,0.000,0.000,0.000,0.000,0.000,0,N,0.000,0.000,0.000,0,1,1-STRUCTURE GROUP A/ALT A FIXED WAM greater than or equal to 180 WAC less than or equal to 9.5,0.0000,N,101.25
