GSANUM,PI,PBAL,OBAL,RATE,CITY,STATE,ZIP,GSANUM,UNITS,LIEN,FDUEDATE,MDATE,ODATE,ASOFDATE,OFICO,EMPLOY,RTERM,ATERM,OTERM,GSANUM,PPOTERM,AGE,ARMFLAG,BALLFLAG,IOFLAG,IOTERM,GSOLTV,GSCOLTV,MTM_OCCLIT,GSANUM,MTM_PROPLIT,MTM_PURPLIT,MTM_PRODLIT,MTM_DOCLIT
4957191,740.3,69905.96,70000,12.375,Garden Grove,CA,92843,4957191,1,2,6/1/2006,5/1/2021,4/11/2006,10/1/2006,654,N,175,355,180,4957191,0,5,FIXED,Y,N,0,20,100,OWNER OCCU,4957191,CONDO,PURCHASE,FIXED BALLOON 30/15,NINA/NO DOC
4957451,190.35,18616.45,18680,11.875,Baton Rouge,LA,70810,4957451,1,2,12/1/2005,11/1/2020,10/28/2005,10/1/2006,660,Y,169,349,180,4957451,0,11,FIXED,Y,N,0,10,100,INVESTOR,4957451,SINGLE FAMILY,PURCHASE,FIXED BALLOON 30/15,SIVA
4957535,1131.44,108725.71,108997,12.125,Skokie,IL,60077,4957535,1,2,3/1/2006,2/1/2021,1/13/2006,10/1/2006,694,N,172,352,180,4957535,0,8,FIXED,Y,N,0,25,75,INVESTOR,4957535,CONDO,PURCHASE,FIXED BALLOON 30/15,SIVA
4957928,905.86,87074.87,87250,12.125,Antelope,CA,95843,4957928,1,2,4/1/2006,3/1/2021,2/9/2006,10/1/2006,765,Y,173,353,180,4957928,0,7,FIXED,Y,N,0,25,100,INVESTOR,4957928,SINGLE FAMILY,PURCHASE,FIXED BALLOON 30/15,NO RATIO
4954980,809.83,77843.38,78000,12.125,Fair Oaks Ranch,TX,78015,4954980,1,2,4/1/2006,3/1/2021,3/1/2006,10/1/2006,800,N,173,353,180,4954980,0,7,FIXED,Y,N,0,30,100,OWNER OCCU,4954980,PUD,PURCHASE,FIXED BALLOON 30/15,NO RATIO
4957700,869.65,80604.85,80750,12.625,Paterson,NJ,7501,4957700,4,2,3/1/2006,2/1/2021,2/3/2006,10/1/2006,731,Y,172,353,180,4957700,0,8,FIXED,Y,N,0,25,100,INVESTOR,4957700,2-4 FAMILY,PURCHASE,FIXED BALLOON 30/15,FULL/ALT
4956060,942.58,101757.98,102000,10.625,Fontana,CA,92336,4956060,1,2,5/1/2006,4/1/2021,2/27/2006,10/1/2006,682,N,174,354,180,4956060,0,6,FIXED,Y,N,0,30,100,OWNER OCCU,4956060,SINGLE FAMILY,PURCHASE,FIXED BALLOON 30/15,SIVA
4955364,673.25,69541.99,70000,11.125,Brooklyn Park,MD,21225,4955364,1,2,5/1/2006,4/1/2021,3/30/2006,10/1/2006,680,N,174,343,180,4955364,0,6,FIXED,Y,N,0,23.1,90,OWNER OCCU,4955364,PUD,CASHOUT REFI,FIXED BALLOON 30/15,SIVA
4955164,1428.06,132396.73,132600,12.625,Round Hill,VA,20141,4955164,1,2,6/1/2006,5/1/2021,3/29/2006,10/1/2006,793,N,175,354,180,4955164,0,5,FIXED,Y,N,0,30,100,OWNER OCCU,4955164,SINGLE FAMILY,PURCHASE,FIXED BALLOON 30/15,NINA/NO DOC
4955711,1442.23,154081.73,154500,10.75,Elizabeth,NJ,7208,4955711,2,2,4/1/2006,3/1/2021,2/27/2006,10/1/2006,735,N,173,353,180,4955711,0,7,FIXED,Y,N,0,30,100,OWNER OCCU,4955711,2-4 FAMILY,PURCHASE,FIXED BALLOON 30/15,SIVA
4954348,362.58,41012.19,41316,10,Orange,NJ,7050,4954348,3,2,5/1/2006,4/1/2021,3/2/2006,10/1/2006,768,N,174,344,180,4954348,0,6,FIXED,Y,N,0,15,100,INVESTOR,4954348,2-4 FAMILY,PURCHASE,FIXED BALLOON 30/15,SIVA
4958115,1086.48,119634.37,120000,10.375,White Plains,MD,20695,4958115,1,2,4/1/2006,3/1/2021,2/9/2006,10/1/2006,691,Y,173,353,180,4958115,0,7,FIXED,Y,N,0,22.35,100,OWNER OCCU,4958115,PUD,CASHOUT REFI,FIXED BALLOON 30/15,SIVA
4956330,1907.8,173704.14,174000,12.875,Whittier,CA,90604,4956330,1,2,4/1/2006,3/1/2021,2/20/2006,10/1/2006,670,N,173,353,180,4956330,0,7,FIXED,Y,N,0,30,90,OWNER OCCU,4956330,SINGLE FAMILY,PURCHASE,FIXED BALLOON 30/15,SIVA
4957895,1869.75,197777.36,198300,10.875,Ashburn,VA,20147,4957895,1,2,4/1/2006,3/1/2021,2/8/2006,10/1/2006,685,N,173,353,180,4957895,0,7,FIXED,Y,N,0,27.73,100,OWNER OCCU,4957895,PUD,CASHOUT REFI,FIXED BALLOON 30/15,SIVA
4958294,636.71,64789.01,64920,11.375,Houston,TX,77063,4958294,1,2,5/1/2006,4/1/2021,3/28/2006,10/1/2006,698,Y,174,354,180,4958294,0,6,FIXED,Y,N,0,20,100,INVESTOR,4958294,PUD,CASHOUT REFI,FIXED BALLOON 30/15,SIVA
4955063,494.94,46724.19,46800,12.375,Houston,TX,77032,4955063,1,2,5/1/2006,4/1/2021,3/16/2006,10/1/2006,772,N,174,354,180,4955063,0,6,FIXED,Y,N,0,30,100,OWNER OCCU,4955063,SINGLE FAMILY,PURCHASE,FIXED BALLOON 30/15,FULL/ALT
4958042,582.59,51669.06,51750,13.25,Upper Marlboro,MD,20772,4958042,1,2,4/1/2006,3/1/2021,2/24/2006,10/1/2006,646,N,173,353,180,4958042,0,7,FIXED,Y,N,0,15,100,OWNER OCCU,4958042,SINGLE FAMILY,PURCHASE,FIXED BALLOON 30/15,NINA/NO DOC
4957422,722.52,64094.47,64180,13.25,Naples,FL,34120,4957422,1,2,5/1/2006,4/1/2021,4/3/2006,10/1/2006,644,N,174,354,180,4957422,0,6,FIXED,Y,N,0,20,100,OWNER OCCU,4957422,SINGLE FAMILY,PURCHASE,FIXED BALLOON 30/15,SIVA
4957495,363.13,34904.74,34975,12.125,Sugar Land,TX,77478,4957495,1,2,4/1/2006,3/1/2021,2/6/2006,10/1/2006,700,Y,173,353,180,4957495,0,7,FIXED,Y,N,0,25,95,INVESTOR,4957495,PUD,PURCHASE,FIXED BALLOON 30/15,NO RATIO
4958732,270.98,26055.33,26100,12.125,Houston,TX,77035,4958732,1,2,5/1/2006,4/1/2021,3/17/2006,10/1/2006,708,N,174,354,180,4958732,0,6,FIXED,Y,N,0,15,95,INVESTOR,4958732,PUD,PURCHASE,FIXED BALLOON 30/15,SIVA
4954241,306.69,28317.39,29000,12.375,La Porte,TX,77571,4954241,2,2,6/1/2006,5/1/2021,4/13/2006,10/1/2006,750,N,175,296,180,4954241,0,5,FIXED,Y,N,0,25,95,INVESTOR,4954241,2-4 FAMILY,PURCHASE,FIXED BALLOON 30/15,FULL/ALT
4954806,936.96,86889.45,87000,12.625,Somersworth,NH,3878,4954806,1,2,6/1/2006,5/1/2021,4/19/2006,10/1/2006,775,N,175,355,180,4954806,0,5,FIXED,Y,N,0,30,100,OWNER OCCU,4954806,SINGLE FAMILY,PURCHASE,FIXED BALLOON 30/15,FULL/ALT
4954943,1851.31,171590.93,171900,12.625,Henderson,NV,89052,4954943,1,2,4/1/2006,3/1/2021,2/17/2006,10/1/2006,722,Y,173,353,180,4954943,0,7,FIXED,Y,N,0,30,100,OWNER OCCU,4954943,SINGLE FAMILY,PURCHASE,FIXED BALLOON 30/15,FULL/ALT
4958884,237.75,20554.81,20580,13.625,Stokes,NC,27884,4958884,1,2,5/1/2006,4/1/2021,3/30/2006,10/1/2006,634,N,174,354,180,4958884,0,6,FIXED,Y,N,0,20,100,OWNER OCCU,4958884,SINGLE FAMILY,PURCHASE,FIXED BALLOON 30/15,SIVA
4954611,1209.2,89177.86,89250,16.125,Milwaukee,WI,53225,4954611,4,2,4/1/2006,3/1/2021,2/13/2006,10/1/2006,700,N,173,353,180,4954611,0,7,FIXED,Y,N,0,30,100,INVESTOR,4954611,2-4 FAMILY,PURCHASE,FIXED BALLOON 30/15,SIVA
4956591,833.85,60087.52,60200,16.5,Milwaukee,WI,53207,4956591,2,2,4/1/2006,3/1/2021,3/2/2006,10/1/2006,797,N,173,344,180,4956591,0,7,FIXED,Y,N,0,35,100,INVESTOR,4956591,2-4 FAMILY,PURCHASE,FIXED BALLOON 30/15,FULL/ALT
