GSANUM,ABSDELQ,ACAP,ACTBAL,AGE,APPR,ARMFLAG,ASOFDATE,ATERM,BALLFLAG,GSANUM,CITY,DTI,EMPLOY,FACAP,FDUEDATE,FHFLAG,FICO,FPCDT,FRADJPER,GSANUM,FRCDT,FRECAST,GROUP,GS_INDEXLIT,GS_PPLIT,GSOLTV,INCOME,IOFLAG,IOTERM,GSANUM,IRATE,LCAP,LIEN,LPMIFEE,LPMIFLAG,MARGIN,MAXRATE,MDATE,MICOLIT,MICOV,MIFLAG,MINOPI,MINRATE,GSANUM,MTM_DOCLIT,MTM_OCCLIT,MTM_ORIGINATOR,MTM_PRODLIT,MTM_PROPLIT,GSANUM,MTM_PURPLIT,MTR,NEGAMFLAG,NEGAMLIMIT,NPCDT,NRATE,NRCDT,OATERM,OBAL,GSANUM,ODATE,OPI,ORATE,OTERM,PBAL,PCAP,PDATE,PI,PPOFLAG,PPOTERM,PRICE,GSANUM,RADJPER,RATE,RECAST,RTERM,SCHEDBAL,MTM_SERVICER,SILENT,SPCOLTV,SRLIEN,STATE,SUBLIEN,GSANUM,TRATE,TTERM,UNITS,ZIP
6734359,CURRENT,1,160000,1,213000,ARM,3/1/2007,0,N,6734359,BROOKLYN PARK,29.86,N,2,3/1/2007,N,631,3/1/2009,24,6734359,2/1/2009,,GROUP1,6ML,2PER,80,3680,Y,60,6734359,,6,1,0,N,4,13.25,2/1/2037,,0,N,,7.25,6734359,FULL DOC,OWNER OCCUPIED,OTHER,2 YR ARM IO,SINGLE FAMILY,6734359,PURCHASE,23,N,0,3/1/2009,6.74,2/1/2009,360,160000,6734359,1/26/2007,966.67,7.25,360,160000,,2/1/2007,966.67,Y,24,200000,6734359,6,7.25,,359,160000,AVELO,N,100,0,MN,40000,6734359,,0,1,55444
6734360,CURRENT,0,40000,1,213000,FIXED,3/1/2007,359,N,6734360,BROOKLYN PARK,29.82,N,0,3/1/2007,N,631,00/00/0000,0,6734360,00/00/0000,,GROUP1,,2PER,20,3680,N,0,6734360,,0,2,0,N,0,0,2/1/2037,,0,N,,0,6734360,FULL DOC,OWNER OCCUPIED,OTHER,FIXED,SINGLE FAMILY,6734360,PURCHASE,0,N,0,00/00/0000,10.99,00/00/0000,360,40000,6734360,1/26/2007,396.12,11.5,360,39987.21,,2/1/2007,396.12,Y,36,200000,6734360,0,11.5,,359,39987.21,AVELO,N,100,160000,MN,0,6734360,,0,1,55444
6734361,CURRENT,1,168000,1,210000,ARM,3/1/2007,479,Y,6734361,BRIDGEPORT,48.35,Y,2,3/1/2007,Y,698,3/1/2009,24,6734361,2/1/2009,,GROUP2,6ML,5PER,80,8000,N,0,6734361,,6,1,0,N,4.74,13.99,2/1/2037,,0,N,,7.99,6734361,STATED DOC,OWNER OCCUPIED,OTHER,2 YR ARM BALLOON 40/30,SINGLE FAMILY,6734361,PURCHASE,23,N,0,3/1/2009,7.48,2/1/2009,480,168000,6734361,1/30/2007,1166.86,7.99,360,167951.74,,2/1/2007,1166.86,Y,24,210000,6734361,6,7.99,,359,167951.74,AVELO,N,100,0,CT,42000,6734361,,0,1,6610
6734362,CURRENT,0,42000,1,210000,FIXED,3/1/2007,359,N,6734362,BRIDGEPORT,48.35,Y,0,3/1/2007,Y,698,00/00/0000,0,6734362,00/00/0000,,GROUP2,,5PER,20,8000,N,0,6734362,,0,2,0,N,0,0,2/1/2037,,0,N,,0,6734362,STATED DOC,OWNER OCCUPIED,OTHER,FIXED,SINGLE FAMILY,6734362,PURCHASE,0,N,0,00/00/0000,10.34,00/00/0000,360,42000,6734362,1/30/2007,395.22,10.85,360,41984.53,,2/1/2007,395.22,Y,36,210000,6734362,0,10.85,,359,41984.53,AVELO,N,100,168000,CT,0,6734362,,0,1,6610
6734363,CURRENT,1,164000,1,215000,ARM,3/1/2007,479,Y,6734363,CAMBRIDGE,41.3,N,2,3/1/2007,N,603,3/1/2010,36,6734363,2/1/2010,,GROUP1,6ML,NA,80,5833,N,0,6734363,,6,1,0,N,6.05,15.3,2/1/2037,,0,N,,9.3,6734363,FULL DOC,OWNER OCCUPIED,OTHER,3 YR ARM BALLOON 40/30,SINGLE FAMILY,6734363,PURCHASE,35,N,0,3/1/2010,8.79,2/1/2010,480,164000,6734363,1/30/2007,1303.03,9.3,360,163967.97,,2/1/2007,1303.03,N,0,205000,6734363,6,9.3,,359,163967.97,AVELO,N,100,0,MD,41000,6734363,,0,1,21613
6734364,CURRENT,0,41000,1,215000,FIXED,3/1/2007,359,N,6734364,CAMBRIDGE,41.3,N,0,3/1/2007,N,603,00/00/0000,0,6734364,00/00/0000,,GROUP1,,NA,20,5833,N,0,6734364,,0,2,0,N,0,0,2/1/2037,,0,N,,0,6734364,FULL DOC,OWNER OCCUPIED,OTHER,FIXED,SINGLE FAMILY,6734364,PURCHASE,0,N,0,00/00/0000,11.49,00/00/0000,360,41000,6734364,1/30/2007,421.73,12,360,40988.27,,2/1/2007,421.73,N,0,205000,6734364,0,12,,359,40988.27,AVELO,N,100,164000,MD,0,6734364,,0,1,21613
6734365,CURRENT,1,82400,1,103000,ARM,3/1/2007,359,N,6734365,PAHOKEE,50.71,N,2,3/1/2007,N,575,3/1/2009,24,6734365,2/1/2009,,GROUP1,6ML,5PER,80,5692,N,0,6734365,,6,1,0,N,5.55,14.8,2/1/2037,,0,N,,8.8,6734365,FULL DOC,INVESTOR,OTHER,2 YR ARM,SINGLE FAMILY,6734365,CASHOUT REFI,23,N,0,3/1/2009,8.29,2/1/2009,360,82400,6734365,1/23/2007,651.19,8.8,360,82353.08,,2/1/2007,651.19,Y,24,0,6734365,6,8.8,,359,82353.08,AVELO,N,80,0,FL,0,6734365,,0,1,33476
6734366,CURRENT,1,251800,1,256000,ARM,3/1/2007,359,N,6734366,TAPPAHANNOCK,26.9,Y,2,3/1/2007,N,632,3/1/2009,24,6734366,2/1/2009,,GROUP1,6ML,2PER,100,9563,N,0,6734366,,6,1,0,N,6.4,15.65,2/1/2037,,0,N,,9.65,6734366,FULL DOC,OWNER OCCUPIED,OTHER,2 YR ARM,SINGLE FAMILY,6734366,PURCHASE,23,N,0,3/1/2009,9.14,2/1/2009,360,251800,6734366,1/29/2007,2144.88,9.65,360,251680.01,,2/1/2007,2144.88,Y,24,251811,6734366,6,9.65,,359,251680.01,AVELO,N,100,0,VA,0,6734366,,0,1,22560
6734367,CURRENT,1,189000,1,212000,ARM,3/1/2007,359,N,6734367,ALBIA,39.4,Y,2,3/1/2007,Y,615,3/1/2009,24,6734367,2/1/2009,,GROUP1,6ML,NA,90,10862,N,0,6734367,,6,1,0,N,5.5,14.75,2/1/2037,,0,N,,8.75,6734367,FULL DOC,OWNER OCCUPIED,OTHER,2 YR ARM,SINGLE FAMILY,6734367,PURCHASE,23,N,0,3/1/2009,8.24,2/1/2009,360,189000,6734367,1/12/2007,1486.86,8.75,360,188891.27,,2/1/2007,1486.86,N,0,210000,6734367,6,8.75,,359,188891.27,AVELO,N,90,0,IA,0,6734367,,0,1,52531
6734368,CURRENT,1,333000,1,370000,ARM,3/1/2007,479,Y,6734368,SPOTSYLVANIA,49.96,N,2,3/1/2007,N,728,3/1/2010,36,6734368,2/1/2010,,GROUP1,6ML,2PER,90,7250,N,0,6734368,,6,1,0,N,5.35,14.6,2/1/2037,,0,N,,8.6,6734368,STATED DOC,INVESTOR,OTHER,3 YR ARM BALLOON 40/30,SINGLE FAMILY,6734368,CASHOUT REFI,35,N,0,3/1/2010,8.09,2/1/2010,480,333000,6734368,1/26/2007,2466.57,8.6,360,332919.93,,2/1/2007,2466.57,Y,24,0,6734368,6,8.6,,359,332919.93,AVELO,N,90,0,VA,0,6734368,,0,1,22553
