LOANSKEY,Original LTV,Sales Price,Original Appraisal,Mortgage Insurance Coverage,Mortgage Insurance Company,Lender Paid Flag,FICO at Origination,Documentation,Self Employed Flag,Product Category,Purpose,Property,LOANSKEY,Occupancy,Units,Scheduled Balance,Original Balance,Pledge Balance,Origination Date,First Pay Day,Maturity Date,Cut off Date,Gross Current Coupon Rate,Servicing Fee Rate,Master Servicing Fee Rate,LOANSKEY,LPMI Fee Rate,State,City,Zip,Interest Only Flag,Balloon Flag,Jumbo Flag,Original IO Term,Original Term,Original Amortization Term,Original PNI Paypent,Current PNI Payment,LOANSKEY,Times 30 Days Delinquent in last 12 months,Times 60 Days Delinquent,Times 90 Days Delinquent,Prepay Flag/Term,Lien Position,Originator,Primary Servicer,Index,Initial Rate Adjustment Period,Subsequent Rate Adjustment Period,Initial Payment Adjustmen Period,Subsequent Payment Adjustment Period,LOANSKEY,First Rate Adjustment Date,First Payment Adjustment Date,Initial Periodic Cap,Subsequent Periodic Cap,Life Cap,Margin,Max Rate,Months to Next Rate Adjustment,Months to Next Pay Adjustment,Servicing Step Up,Step up Servicing Rate
274938,80,975000,975000,0,No Insurance,N,763,Reduced - No Income Verification,N,5 Year ARM,Purchase,Single Family Residence,274938,Primary,1,780000,780000,0,3/17/2005,5/1/2005,4/1/2035,1/1/2007,5.5,0.25,0.0018,274938,0,South Carolina,COLUMBIA SC,29206,Y,N,Jumbo,60,360,300,3575,"3,575.00",274938,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,274938,4/1/2010,5/1/2010,5,2,5,2.25,10.5,39,40,N,0
274939,79.27,0,1100000,0,No Insurance,N,741,Reduced - No Income Verification,N,5 Year ARM,Cash-out Refinance,Single Family Residence,274939,Primary,1,872000,872000,0,12/24/2004,2/1/2005,1/1/2035,1/1/2007,5.25,0.25,0.0018,274939,0,New Jersey,FRANKLIN LAKES BOROU,7417,Y,N,Jumbo,60,360,300,3815,"3,815.00",274939,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,274939,1/1/2010,2/1/2010,5,2,5,2.25,10.25,36,37,N,0
274940,80,0,600000,0,No Insurance,N,677,Full Documentation,N,5 Year ARM,Cash-out Refinance,Single Family Residence,274940,Primary,1,479827.7,480000,0,10/19/2004,12/1/2004,11/1/2034,1/1/2007,5.5,0.25,0.0018,274940,0,New Jersey,FRANKLIN LAKES NJ,7417,Y,N,Jumbo,60,360,300,2200,"2,199.25",274940,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,274940,11/1/2009,12/1/2009,5,2,5,2.25,10.5,34,35,N,0
274941,79.99,634623,634623,0,No Insurance,N,757,Simply Signature,N,5 Year ARM,Purchase,Condo,274941,Primary,1,503807.86,507635,0,11/19/2004,1/1/2005,12/1/2034,1/1/2007,5.625,0.25,0.0018,274941,0,New Jersey,UNION CITY NJ,7087,Y,N,Jumbo,60,360,300,2379.54,"2,364.03",274941,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,274941,12/1/2009,1/1/2010,5,2,5,2.25,10.63,35,36,N,0
274942,70,0,1105000,0,No Insurance,N,773,Full Documentation,N,5 Year ARM,Cash-out Refinance,Planned unit developments,274942,Primary,1,773500,773500,0,5/13/2005,7/1/2005,6/1/2035,1/1/2007,6,0.25,0.0018,274942,0,California,SAN CLEMENTE CA,92673,Y,N,Jumbo,60,360,300,3867.5,"3,867.50",274942,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,274942,6/1/2010,7/1/2010,5,2,5,2.25,11,41,42,N,0
274948,80,596000,596000,0,No Insurance,N,760,Full Documentation,N,5 Year ARM,Purchase,Condo,274948,Primary,1,476800,476800,0,5/19/2005,7/1/2005,6/1/2035,1/1/2007,5.5,0.25,0.0018,274948,0,New Jersey,HOBOKEN NJ,7030,Y,N,Jumbo,60,360,300,2185.33,"2,185.33",274948,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,274948,6/1/2010,7/1/2010,5,2,5,2.25,10.5,41,42,N,0
274949,57.78,2250000,2250000,0,No Insurance,N,789,Full Documentation,N,5 Year ARM,Purchase,Condo,274949,Primary,1,1300000,1300000,0,5/5/2005,6/1/2005,5/1/2035,1/1/2007,5,0.25,0.0018,274949,0,New York,NEW YORK NY,10012,Y,N,Jumbo,60,360,300,5416.67,"5,416.67",274949,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,274949,5/1/2010,6/1/2010,5,2,5,2.25,10,40,41,N,0
274950,60,1200000,1200000,0,No Insurance,N,812,Full Documentation,N,5 Year ARM,Purchase,Condo,274950,Primary,1,720000,720000,0,1/24/2005,3/1/2005,2/1/2035,1/1/2007,5.125,0.25,0.0018,274950,0,New York,NEW YORK NY,10022,Y,N,Jumbo,60,360,300,3075,"3,075.00",274950,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,274950,2/1/2010,3/1/2010,5,2,5,2.25,10.13,37,38,N,0
274951,62.86,1750000,1750000,0,No Insurance,N,712,Full Documentation,N,5 Year ARM,Purchase,Single Family Residence,274951,Primary,1,1099741.98,1100000,0,2/28/2005,4/1/2005,3/1/2035,1/1/2007,5.375,0.25,0.0018,274951,0,New York,SOUTHHAMPTON NY,11968,Y,N,Jumbo,60,360,300,4927.08,"4,925.93",274951,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,274951,3/1/2010,4/1/2010,5,2,5,2.25,10.38,38,39,N,0
274952,22.92,4800000,4800000,0,No Insurance,N,761,Full Documentation,Y,5 Year ARM,Purchase,Single Family Residence,274952,Primary,1,1100000,1100000,0,10/28/2004,12/1/2004,11/1/2034,1/1/2007,5.125,0.25,0.0018,274952,0,New York,EAST HAMPTON NY,11937,Y,N,Jumbo,60,360,300,4697.92,"4,697.92",274952,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,274952,11/1/2009,12/1/2009,5,2,5,2.25,10.13,34,35,N,0
274960,80,690000,690000,0,No Insurance,N,814,Simply Signature,N,5 Year ARM,Purchase,Condo,274960,Primary,1,552000,552000,0,5/9/2005,7/1/2005,6/1/2035,1/1/2007,5.75,0.25,0.0018,274960,0,Connecticut,GREENWICH CT,6831,Y,N,Jumbo,60,360,300,2645,"2,645.00",274960,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,274960,6/1/2010,7/1/2010,5,2,5,2.25,10.75,41,42,N,0
274961,78.17,1145000,1145000,0,No Insurance,N,822,Reduced - No Income Verification,Y,5 Year ARM,Purchase,Single Family Residence,274961,Primary,1,316605.46,895000,0,4/29/2005,6/1/2005,5/1/2035,1/1/2007,5.75,0.25,0.0018,274961,0,Connecticut,EASTON CT,6612,Y,N,Jumbo,60,360,300,4288.54,"1,534.45",274961,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,274961,5/1/2010,6/1/2010,5,2,5,2.25,10.75,40,41,N,0
274962,80,679000,679000,0,No Insurance,N,767,Simply Signature,N,5 Year ARM,Purchase,Condo,274962,Primary,1,543028.57,543200,0,2/15/2005,4/1/2005,3/1/2035,1/1/2007,5.125,0.25,0.0018,274962,0,Massachusetts,BOSTON MA,2111,Y,N,Jumbo,60,360,300,2319.92,"2,319.18",274962,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,274962,3/1/2010,4/1/2010,5,2,5,2.25,10.13,38,39,N,0
