LoanID,Seller,Servicer,Deal ID,Pool ID,Orig Bal,Sch Bal,Product,IO Flag,IO Term,Property Type,Loan Purpose,Zipcode,LoanID,State,First Pay,Maturity Date,First Pay Adj,First Rate Adj,Next Pay Adj,Next Rate Adj,Fixed Period,First Per Cap,Periodic Cap,Life Cap,Margin,LoanID,Maxrate,Pay Adjust Freq,Rate Adjust Freq,Appr Value,Pledge Bal,Sales Price,Doctype,Index,Ownocc,MI Comp,Cutoffdate,Orig Date,LoanID,Orig LTV,Eff LTV,Orig CLTV,MI Pct,Orig PNI,LPMI,Net Rate,Orig Rate,Current Rate,Serv Fee,LoanID,Master Serv Fee,FICO,Amort Term,Orig Term,Balloon,Units,Times 30,Times 60,Times 90,Prepay Term,Servicing Step Up Fee
103958664,PHH,PHH,JPMMT2007-A5,POOL3,511200,511200,ARM - 7 Year,Yes,120,Single Family Residence,Purchase,91316,103958664,California,9/1/2007,8/1/2037,9/1/2014,8/1/2014,9/1/2014,8/1/2014,84,5,2,5,2.250,103958664,11.625,12,12,639000,0,639000,Full Documentation,Libor - 1 Year,Primary Residence,No Insurance,9/1/2007,7/10/2007,103958664,80.00,80.00,100.00,0,2822.25,0,6.2415,6.6250,6.6250,0.3750,103958664,0.0085,790,240,360,Non-Balloon,1,0,0,0,0,0.000
104012663,PHH,PHH,JPMMT2007-A5,POOL3,616000,616000,ARM - 7 Year,Yes,120,Single Family Residence,Purchase,91107,104012663,California,9/1/2007,8/1/2037,9/1/2014,8/1/2014,9/1/2014,8/1/2014,84,5,2,5,2.250,104012663,11.750,12,12,770000,0,770000,Full Documentation,Libor - 1 Year,Primary Residence,No Insurance,9/1/2007,7/23/2007,104012663,80.00,80.00,95.00,0,3465,0,6.3665,6.7500,6.7500,0.3750,104012663,0.0085,667,240,360,Non-Balloon,1,0,0,0,0,0.000
103934880,PHH,PHH,JPMMT2007-A5,POOL3,550000,550000,ARM - 7 Year,Yes,120,Single Family Residence,Purchase,02655,103934880,Massachusetts,9/1/2007,8/1/2037,9/1/2014,8/1/2014,9/1/2014,8/1/2014,84,5,2,5,2.250,103934880,11.362,12,12,735000,0,699000,Full Documentation,Libor - 1 Year,Second Home,No Insurance,9/1/2007,7/20/2007,103934880,78.68,78.68,78.68,0,2915.92,0,5.9785,6.3620,6.3620,0.3750,103934880,0.0085,657,240,360,Non-Balloon,1,0,0,0,0,0.000
103626345,Chase Mortgage,Chase,JPMMT2007-A5,POOL3,3000000,3000000,ARM - 7 Year,Yes,120,Single Family Residence,Purchase,06830,103626345,Connecticut,6/1/2007,5/1/2037,6/1/2014,5/1/2014,6/1/2014,5/1/2014,84,5,2,5,2.500,103626345,11.375,12,12,3900000,0,3870000,Full Documentation,Libor - 1 Year,Primary Residence,No Insurance,9/1/2007,5/1/2007,103626345,77.52,0.00,80.00,0,15937.5,0,6.1165,6.3750,6.3750,0.2500,103626345,0.0085,775,240,360,Non-Balloon,1,0,0,0,0,0.000
103626364,Chase Mortgage,Chase,JPMMT2007-A5,POOL3,2799300,2799300,ARM - 7 Year,Yes,120,Single Family Residence,Purchase,94115,103626364,California,7/1/2007,6/1/2037,7/1/2014,6/1/2014,7/1/2014,6/1/2014,84,5,2,5,2.500,103626364,11.250,12,12,4025000,0,3999000,No Income / Verified Assets,Libor - 1 Year,Primary Residence,No Insurance,9/1/2007,5/11/2007,103626364,70.00,0.00,80.00,0,14579.69,0,5.9915,6.2500,6.2500,0.2500,103626364,0.0085,785,240,360,Non-Balloon,1,0,0,0,0,0.000
103626376,Chase Mortgage,Chase,JPMMT2007-A5,POOL3,617600,617600,ARM - 7 Year,Yes,120,Planned unit developments,Purchase,95116,103626376,California,6/1/2007,5/1/2037,6/1/2014,5/1/2014,6/1/2014,5/1/2014,84,5,2,5,2.250,103626376,10.875,12,12,772795,0,772000,Full Documentation,Libor - 1 Year,Primary Residence,No Insurance,9/1/2007,4/24/2007,103626376,80.00,0.00,100.00,0,3023.67,0,5.6165,5.8750,5.8750,0.2500,103626376,0.0085,675,240,360,Non-Balloon,1,0,0,0,0,0.000
103640650,Chase Mortgage,Chase,JPMMT2007-A5,POOL3,440000,440000,ARM - 7 Year,Yes,120,Planned unit developments,Purchase,22191,103640650,Virginia,5/1/2007,4/1/2037,5/1/2014,4/1/2014,5/1/2014,4/1/2014,84,5,2,5,2.250,103640650,11.250,12,12,550000,0,550000,Simply Signature,Libor - 1 Year,Primary Residence,No Insurance,9/1/2007,4/2/2007,103640650,80.00,0.00,100.00,0,2291.67,0,5.9915,6.2500,6.2500,0.2500,103640650,0.0085,764,240,360,Non-Balloon,1,0,0,0,0,0.000
103944966,Chase Mortgage,Chase,JPMMT2007-A5,POOL3,495200,495200,ARM - 7 Year,Yes,120,Single Family Residence,Purchase,07040,103944966,New Jersey,7/1/2007,6/1/2037,7/1/2014,6/1/2014,7/1/2014,6/1/2014,84,5,2,5,2.250,103944966,11.500,12,12,630000,0,619000,Full Documentation,Libor - 1 Year,Primary Residence,No Insurance,9/1/2007,5/24/2007,103944966,80.00,0.00,100.00,0,2682.33,0,6.2415,6.5000,6.5000,0.2500,103944966,0.0085,683,240,360,Non-Balloon,1,0,0,0,0,0.000
103944978,Chase Mortgage,Chase,JPMMT2007-A5,POOL3,1085000,1085000,ARM - 7 Year,Yes,120,Single Family Residence,Purchase,19010,103944978,Pennsylvania,8/1/2007,7/1/2037,8/1/2014,7/1/2014,8/1/2014,7/1/2014,84,5,2,5,2.250,103944978,11.000,12,12,1580000,0,1550000,No Income / Verified Assets,Libor - 1 Year,Primary Residence,No Insurance,9/1/2007,6/11/2007,103944978,70.00,0.00,70.00,0,5425,0,5.7415,6.0000,6.0000,0.2500,103944978,0.0085,657,240,360,Non-Balloon,1,0,0,0,0,0.000
103945046,Chase Mortgage,Chase,JPMMT2007-A5,POOL3,584000,584000,ARM - 7 Year,Yes,120,Condo,Purchase,10025,103945046,New York,7/1/2007,6/1/2037,7/1/2014,6/1/2014,7/1/2014,6/1/2014,84,5,2,5,2.250,103945046,11.125,12,12,745000,0,730000,Full Documentation,Libor - 1 Year,Primary Residence,No Insurance,9/1/2007,5/25/2007,103945046,80.00,0.00,80.00,0,2980.83,0,5.8665,6.1250,6.1250,0.2500,103945046,0.0085,642,240,360,Non-Balloon,1,0,0,0,0,0.000
