LOANSKEY,Original LTV,Sales Price,Original Appraisal,Mortgage Insurance Coverage,Mortgage Insurance Company,Lender Paid Flag,FICO at Origination,Documentation,Self Employed Flag,Product Category,Purpose,Property,Occupancy,Units,Scheduled Balance,Original Balance,Pledge Balance,Origination Date,First Pay Day,Maturity Date,Cut off Date,Gross Current Coupon Rate,Servicing Fee Rate,Master Servicing Fee Rate,LPMI Fee Rate,State,City,Zip,Interest Only Flag,Balloon Flag,Jumbo Flag,Original IO Term,Original Term,Original Amortization Term,Original PNI Paypent,Current PNI Payment,Times 30 Days Delinquent in last 12 months,Times 60 Days Delinquent,Times 90 Days Delinquent,Prepay Flag/Term,Lien Position,Originator,Primary Servicer,Deal ID,Pool ID
299540,89.37,0.00,255000.00,25,United Guaranty Insurance,Y,773,Full Documentation,N,30 Year FRM,Rate-Term Refinance,Single Family Residence,Primary,1,227468.32,227900.00,0.00,20070122,20070301,20370201,20070501,6.250,0.250,0.000,1.000,Washington,VANCOUVER,98661,Y,N,Conforming,120,360,240,1186.98,1183.60,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
299541,85.00,0.00,315000.00,12,United Guaranty Insurance,Y,748,Full Documentation,N,30 Year FRM,Cash-out Refinance,Single Family Residence,Primary,1,267675.11,267750.00,0.00,20061205,20070201,20370101,20070501,6.625,0.250,0.000,0.920,Washington,MOUNTLAKE TERRACE,98043,Y,N,Conforming,120,360,240,1478.20,1477.65,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
299543,79.85,814000.00,825000.00,0,No Insurance,N,728,Full Documentation,N,30 Year FRM,Purchase,Condo,Primary,1,650000.00,650000.00,0.00,20061129,20070101,20361201,20070501,6.250,0.250,0.000,0.000,Tennessee,BRENTWOOD,37027,Y,N,Jumbo,120,360,240,3385.42,3385.42,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
299544,63.61,0.00,1800000.00,0,No Insurance,N,756,Full Documentation,Y,30 Year FRM,Rate-Term Refinance,Single Family Residence,Primary,1,1145000.00,1145000.00,0.00,20061208,20070201,20370101,20070501,6.500,0.250,0.000,0.000,Washington,SEATTLE,98112,Y,N,Jumbo,120,360,240,6202.08,6202.08,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
299545,57.59,0.00,191000.00,0,No Insurance,N,693,Full Documentation,Y,30 Year FRM,Cash-out Refinance,Single Family Residence,Investor,1,109999.24,110000.00,0.00,20070124,20070301,20370201,20070501,6.250,0.250,0.000,0.000,Maryland,BALTIMORE,21230,Y,N,Conforming,120,360,240,572.92,572.91,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
299546,79.99,708237.00,710000.00,0,No Insurance,N,786,Full Documentation,N,30 Year FRM,Purchase,Condo,Primary,1,566550.00,566550.00,0.00,20070123,20070301,20370201,20070501,6.500,0.250,0.000,0.000,Maryland,BALTIMORE,21209,Y,N,Jumbo,120,360,240,3068.81,3068.81,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
299547,80.00,0.00,710000.00,0,No Insurance,N,691,Full Documentation,N,30 Year FRM,Cash-out Refinance,Two- to four-family,Primary,2,568000.00,568000.00,0.00,20070122,20070301,20370201,20070501,6.750,0.250,0.000,0.000,New York,BRONX,10461,Y,N,Jumbo,120,360,240,3195.00,3195.00,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
299548,80.00,0.00,510000.00,0,No Insurance,N,687,Full Documentation,N,30 Year FRM,Rate-Term Refinance,Condo,Primary,1,408000.00,408000.00,0.00,20070124,20070301,20370201,20070501,6.375,0.250,0.000,0.000,Virginia,FREDERICKSBURG,22401,Y,N,Conforming,120,360,240,2167.50,2167.50,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
299549,77.65,0.00,170000.00,0,No Insurance,N,673,Full Documentation,N,30 Year FRM,Cash-out Refinance,Single Family Residence,Primary,1,131999.61,132000.00,0.00,20070124,20070301,20370201,20070501,6.750,0.250,0.000,0.000,Louisiana,CHURCH POINT,70525,Y,N,Conforming,120,360,240,742.50,742.50,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
299550,79.98,566362.40,566362.40,0,No Insurance,N,708,Full Documentation,N,30 Year FRM,Purchase,Condo,Primary,1,452008.46,453000.00,0.00,20070130,20070301,20370201,20070501,6.375,0.250,0.000,0.000,Arizona,VAIL,85641,Y,N,Jumbo,120,360,240,2406.56,2398.67,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
