STATE,ZIPCODE,ORIGBAL,CURBAL,ASOFDATE,ORIGDATE,FPDATE,MTDATE,ORIGTERM,STDRTM,SEASON,RATE,SFEE,PMI_COST,LOANTYPE,BALLOON,RATETYPE,ARMTYPE,LIENPOS,Original LTV,Current LTV,Combined LTV,PMI_FLAG,PMICODE,PMI_PCT,FICO,LOANPURP,OWNOCC,LIMDOC,PROPTYPE,PRPAYPEN,Hard_Prepayment_(months),Soft_Prepayment_(months),DTI,IOFLAG,IOTERM
AL,35007,"88,000.00","87,397.29",20070601,20060814,20061001,20360901,360,351,9,7.5,0.5,0,C,N,F,F,1,80,79.45,80,N,,0,692,P,P,S,SF,0,0,0,33,N,0
AL,36301,"90,250.00","89,512.12",20070601,20060428,20060601,20360501,360,347,13,8.563,0.5,0,C,N,F,F,1,95,94.22,95,Y,12,30,643,P,P,S,SF,0,0,0,27,N,0
AL,36107,"69,160.00","68,482.21",20070601,20060427,20060601,20360501,360,347,13,8.125,0.5,0,C,N,F,F,1,92.21,91.31,92.21,Y,12,30,730,P,I,S,SF,0,0,0,32,N,0
AL,36830,"110,000.00","109,160.26",20070601,20060731,20060901,20360801,360,350,10,7.5,0.5,0,C,N,F,F,1,80,79.39,81.4,N,,0,639,P,P,SS,SF,0,0,0,26,N,0
AL,35005,"104,000.00","103,922.81",20070601,20070416,20070601,20370501,360,359,1,7.5,0.25,0,C,N,F,F,1,80,79.94,100,N,,0,741,P,P,N,SF,0,0,0,0,N,0
AR,71921,"103,500.00","103,177.30",20070601,20070217,20070401,20370301,360,357,3,6.75,0.25,0,C,N,F,F,1,73.93,73.7,73.93,N,,0,683,C,P,N,SF,0,0,0,0,N,0
AR,72858,"63,000.00","62,690.43",20070601,20061026,20061201,20361101,360,353,7,7.875,0.25,0,C,N,F,F,1,78.75,78.36,78.75,N,,0,713,C,P,N,SF,0,0,0,0,N,0
AR,72837,"108,400.00","108,041.44",20070601,20070108,20070301,20370201,360,356,4,7,0.25,0,C,N,F,F,1,80,79.74,80,N,,0,710,P,P,N,SF,0,0,0,0,N,0
AR,72108,"113,600.00","113,430.85",20070601,20070327,20070501,20370401,360,358,2,7.5,0.25,0,C,N,F,F,1,80,79.88,100,N,,0,715,P,P,S,SF,0,0,0,33.54,N,0
AR,72761,"272,000.00","271,754.10",20070601,20070430,20070601,20370501,360,359,1,6.5,0.25,0,C,N,F,F,1,80,79.93,90,N,,0,767,P,P,N,SF,0,0,0,0,N,0
