,1,2,3,4,5,6,7,8,9,10,11,,12,13,14,15,16,17,18,19,20,21,,22,23,24,25,26,27,28,29,30,,31,32,33,34,35,36,37,38,39,40,41,,42,43,44,45,46,47,48,49,50,51,52,,53,54,55,56,57,58,59,60,61,62,63,,64,65,66,67,68,69,70,71,72,73,,74,75,76,77,78,79,80,81,82,83,84,,85,86,87,88,89,90,91,92,93,94,95,96,,97,98,99,100,101,102,103,104,,105,106,107,108,109,110,111,112,113,,114,115,116,117,118,119,120,121,122,,123,124,125,126,127,128,129,130,131,132,,133,134,135,136,137,138,139,140,141,142,,143,144,145,146,147,148,149,150,151,,152,153,154,155,156,157,158,159,160,161,,162,163,164,165,166,167,168,169,170,171,172
,Primary Servicer,Servicing Fee %,Servicing Fee—Flatdollar,Servicing Advance Methodology,Originator,Loan Group,Loan Number,Amortization Type,Lien Position,HELOC Indicator,Loan Purpose,,Cash Out Amount,Total Origination and Discount Points,Covered/High Cost Loan Indicator,Relocation Loan Indicator,Broker Indicator,Channel,Escrow Indicator,Senior Loan Amount(s),Loan Type of Most Senior Lien,Hybrid Period of Most Senior Lien (in months),,Neg Am Limit of Most Senior Lien,Junior Mortgage Balance,Origination Date of Most Senior Lien,Origination Date,Original Loan Amount,Original Interest Rate,Original Amortization Term,Original Term to Maturity,First Payment Date of Loan,,Interest Type Indicator,Original Interest Only Term,Buy Down Period,HELOC Draw Period,Current Loan Amount,Current Interest Rate,Current Payment Amount Due,Interest Paid Through Date,Current Payment Status,Index Type,ARM Look-back Days,,Gross Margin,ARM Round Flag,ARM Round Factor,Initial Fixed Rate Period,Initial Interest Rate Cap (Change Up),Initial Interest Rate Cap (Change Down),Subsequent Interest Rate Reset Period,Subsequent Interest Rate Cap (Change Down),Subsequent Interest Rate Cap (Change Up),Lifetime Maximum Rate (Ceiling),Lifetime Minimum Rate (Floor),,Negative Amortization Limit,Initial Negative Amortization Recast Period,Subsequent Negative Amortization Recast Period,Initial Fixed Payment Period,Subsequent Payment Reset Period,Initial Periodic Payment Cap,Subsequent Periodic Payment Cap,Initial Minimum Payment Reset Period,Subsequent Minimum Payment Reset Period,Option ARM Indicator,Options at Recast,,Initial Minimum Payment,Current Minimum Payment,Prepayment Penalty Calculation,Prepayment Penalty Type,Prepayment Penalty Total Term,Prepayment Penalty Hard Term,Primary Borrower ID,Number of Mortgaged Properties,Total Number of Borrowers,Self-employment Flag,,Current ‘Other’ Monthly Payment,Length of Employment: Borrower,Length of Employment: Co- Borrower,Years in Home,FICO Model Used,Most Recent FICO Date,Primary Wage Earner Original FICO: Equifax,Primary Wage Earner Original FICO: Experian,Primary Wage Earner Original FICO: TransUnion,Secondary Wage Earner Original FICO: Equifax,Secondary Wage Earner Original FICO: Experian,,Secondary Wage Earner Original FICO: TransUnion,Original Primary Borrower FICO,Most Recent Primary Borrower FICO,Most Recent Co- Borrower FICO,Most Recent FICO Method,VantageScore: Primary Borrower,VantageScore: Co- Borrower,Most Recent VantageScore Method,VantageScore Date,Credit Report: Longest Trade Line,Credit Report: Maximum Trade Line,Credit Report: Number of Trade Lines,,Credit Line Usage Ratio,Most Recent 12- month Pay History,Months Bankruptcy,Months Foreclosure,Primary Borrower Wage Income,Co-Borrower Wage Income,Primary Borrower Other Income,Co-Borrower Other Income,,All Borrower Wage Income,All Borrower Total Income,4506-T Indicator,Borrower Income Verification Level,Co-Borrower Income Verification,Borrower Employment Verification,Co-Borrower Employment Verification,Borrower Asset Verification,Co-Borrower Asset Verification,,Liquid / Cash Reserves,Monthly Debt All Borrowers,Originator DTI,Fully Indexed Rate,Qualification Method,Percentage of Down Payment from Borrower Own Funds,City,State,Postal Code,,Property Type,Occupancy,Sales Price,Original Appraised Property Value,Original Property Valuation Type,Original Property Valuation Date,Original Automated Valuation Model (AVM) Model Name,Original AVM Confidence Score,Most Recent Property Value2,Most Recent Property Valuation Type,,Most Recent Property Valuation Date,Most Recent AVM Model Name,Most Recent AVM Confidence Score,Original CLTV,Original LTV,Original Pledged Assets,Mortgage Insurance Company Name,Mortgage Insurance Percent,MI: Lender or Borrower Paid?,Pool Insurance Co. Name,,Pool Insurance Stop Loss %,MI Certificate Number,Updated DTI (Front-end),Updated DTI (Back-end),Modification Effective Payment Date,Total Capitalized Amount,Total Deferred Amount,Pre-Modification Interest (Note) Rate,Pre-Modification P&I Payment,,Pre-Modification Initial Interest Rate Change Downward Cap,Pre-Modification Subsequent Interest Rate Cap,Pre-Modification Next Interest Rate Change Date,Pre-Modification I/O Term,Forgiven Principal Amount,Forgiven Interest Amount,Number of Modifications,Cash To/From Brrw at Closing,Brrw - Yrs at in Industry,CoBrrw - Yrs at in Industry,,Junior Mortgage Drawn Amount,Maturity Date,Primary Borrower Wage Income (Salary),Primary Borrower Wage Income (Bonus),Primary Borrower Wage Income (Commission),Co-Borrower Wage Income (Salary),Co-Borrower Wage Income (Bonus),Co-Borrower Wage Income (Commission),Originator Doc Code,RWT Income Verification,RWT Asset Verification
1,1000383,0.002500,,,1000324,,1030007902,1,1,0,9,1,,,,,,1,0,0,,,1,,0.00,,20121211,792000.00,0.038750,360,360,20130201,1,1,0,0,,790833.22,0.038750,3724.28,20130201,0,0,,1,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,0,,403,3,,0,1,,0,,0,1,,,,,,,1,,723,,,,,,,,,,,1,,000000000000,,,11958.33,,7656.83,,1,11958.33,19615.16,1,5,,3,,4,,1,397692.62,6974.29,0.355556,,,,CORONADO,CA,92118,1,7,2,,1330000.00,3,20121001,,,,,1,,,,0.595400,0.595400,0,0,0,,,1,,,,,,,,,,1,,,,,,,,,0,,1,0,20430101,11958.33,0,0,0,0,0,Full,Two Years,Two Months
2,1000383,0.002500,,,1000324,,1030007903,1,1,0,9,2,,,,,,1,0,0,,,2,,0.00,,20121214,798000.00,0.038750,360,360,20130201,2,1,0,0,,796824.38,0.038750,3752.49,20130201,0,0,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,0,,693,1,,0,2,,19.25,19,7,1,,,,,,,2,,809,,,,,,,,,,,2,,000000000000,,,10666.09,12774.99,0,0,2,23441.08,23441.08,1,5,,3,,4,,2,396405.54,5097.12,0.217444,,,,MAPLE VALLEY,WA,98038,2,1,1,,1075000.00,3,20121011,,,,,2,,,,0.742300,0.742300,0,0,0,,,2,,,,,,,,,,2,,,,,,,,,19.25,19,2,0,20430101,10666.09,0,0,12774.99,0,0,Full,Two Years,Two Months
3,1000383,0.002500,,,1000324,,1030008317,1,1,0,9,3,,,,,,1,4,0,,,3,,0.00,,20121130,722300.00,0.038750,360,360,20130101,3,1,0,0,,720168.36,0.038750,3396.52,20130201,0,0,,3,,,,,,,,,,,,3,,,,,,,,,,,,3,,,,,0,,69,2,,0,3,,6,,9,1,,,,,,,3,,766,,,,,,,,,,,3,,000000000000,,,17000,0,0,0,3,17000,17000,1,5,,3,,4,,3,450493.53,6597.92,0.388113,,,,WINCHESTER,MA,01890,3,1,1,,1200000.00,3,20121023,,,,,3,,,,0.601900,0.601900,0,0,0,,,3,,,,,,,,,,3,,,,,,,,,6,,3,0,20421201,17000,0,0,0,0,0,Full,Two Years,Two Months
4,1000383,0.002500,,,1000324,,1030009397,1,1,0,9,4,,,,,,2,0,0,,,4,,0.00,,20121129,980000.00,0.040000,360,360,20130101,4,1,0,0,,977171.29,0.040000,4678.67,20130201,0,0,,4,,,,,,,,,,,,4,,,,,,,,,,,,4,,,,,0,,921,1,,0,4,,15,,7,1,,,,,,,4,,739,,,,,,,,,,,4,,000000000000,,,77078.16,0,0,0,4,77078.16,77078.16,1,5,,3,,4,,4,79699.31,8110.16,0.105220,,,,IRVINE,CA,92603,4,7,1,,1225000.00,3,20120827,,,,,4,,,,0.800000,0.800000,0,0,0,,,4,,,,,,,,,,4,,,,,,,,,15,,4,0,20421201,77078.16,0,0,0,0,0,Full,Two Years,Two Months
5,1000383,0.002500,,,1000324,,1030007669,1,1,0,9,5,,,,,,2,4,0,,,5,,99000.00,,20121213,963000.00,0.035000,360,360,20130201,5,1,0,0,,961484.44,0.035000,4324.30,20130201,0,0,,5,,,,,,,,,,,,5,,,,,,,,,,,,5,,,,,0,,996,1,,0,5,,6.75,6.75,6.5,1,,,,,,,5,,733,,,,,,,,,,,5,,000000000000,,,18578.04,16574.14,0,0,5,35152.18,35152.18,1,5,,3,,4,,5,47742.87,8078.39,0.229812,,,,GLADWYNE,PA,19035,5,1,1,,1400000.00,3,20120919,,,,,5,,,,0.758500,0.687800,0,0,0,,,5,,,,,,,,,,5,,,,,,,,,22,15,5,99000,20430101,18578.04,0,0,16574.14,0,0,Full,Two Years,Two Months
6,1000383,0.002500,,,1000324,,1030009099,1,1,0,7,6,,,,,,2,4,0,,,6,,0.00,,20121116,550000.00,0.038750,360,360,20130101,6,1,0,0,,548376.85,0.038750,2586.30,20130201,0,0,,6,,,,,,,,,,,,6,,,,,,,,,,,,6,,,,,0,,1047,3,,0,6,,4.5,4.75,0,1,,,,,,,6,,760,,,,,,,,,,,6,,000000000000,,,7506.36,12500,0,0,6,20006.36,20006.36,1,5,,3,,4,,6,80229.82,8552.1,0.427469,,,100,AVON,CT,06001,6,1,1,883945.00,1098000.00,3,20121009,,,,,6,,,,0.622200,0.622200,0,0,0,,,6,,,,,,,,,,6,,,,,,,,,6,6,6,0,20421201,7506.36,0,0,12500,0,0,Full,Two Years,Two Months
7,1000383,0.002500,,,1000324,,1030007113,1,1,0,9,7,,,,,,2,1,0,,,7,,75476.00,,20121218,1000000.00,0.038750,360,360,20130201,7,1,0,0,,998526.79,0.038750,4702.37,20130201,0,0,,7,,,,,,,,,,,,7,,,,,,,,,,,,7,,,,,0,,616,1,,0,7,,29,0,0.75,1,,,,,,,7,,768,,,,,,,,,,,7,,000000000000,,,16602.82,0,0,0,7,16602.82,16602.82,1,5,,3,,4,,7,439227.91,6102.63,0.367566,,,,CHESTERFIELD,MO,63017,7,7,1,,1700000.00,3,20120927,,,,,7,,,,0.632600,0.588200,0,0,0,,,7,,,,,,,,,,7,,,,,,,,,29,10,7,75000,20430101,16602.82,0,0,0,0,0,Full,Two Years,Two Months
8,1000383,0.002500,,,1000324,,1030008157,1,1,0,9,8,,,,,,2,4,0,,,8,,0.00,,20121218,724500.00,0.040000,360,360,20130201,8,1,0,0,,723456.12,0.040000,3458.87,20130201,0,0,,8,,,,,,,,,,,,8,,,,,,,,,,,,8,,,,,0,,1017,1,,1,8,,9.25,9.25,10,1,,,,,,,8,,724,,,,,,,,,,,8,,000000000000,,,16130.54,0,0,0,8,16130.54,16130.54,1,5,,3,,4,,8,72507.65,6407.76,0.397244,,,,ESTES PARK,CO,80517,8,7,1,,944000.00,3,20121019,,,,,8,,,,0.767400,0.767400,0,0,0,,,8,,,,,,,,,,8,,,,,,,,,20,20,8,0,20430101,16130.54,0,0,0,0,0,Full,Two Years,Two Months
9,1000383,0.002500,,,1000324,,1030008197,1,1,0,9,9,,,,,,2,4,0,,,9,,0.00,,20121121,815400.00,0.041250,360,360,20130101,9,1,0,0,,813098.25,0.041250,3951.83,20130201,0,0,,9,,,,,,,,,,,,9,,,,,,,,,,,,9,,,,,0,,278,1,,1,9,,29,,10,1,,,,,,,9,,793,,,,,,,,,,,9,,000000000000,,,16675.67,0,0,0,9,16675.67,16675.67,1,5,,3,,4,,9,185486.98,6308.01,0.378276,,,,STAFFORD,VA,22554,9,1,1,,1115000.00,3,20120924,,,,,9,,,,0.731300,0.731300,0,0,0,,,9,,,,,,,,,,9,,,,,,,,,29,,9,0,20421201,16675.67,0,0,0,0,0,Full,Two Years,Two Months
